Volume ( ^3),Surface ( ^2),Nb of obj. voxels,Nb of surf. voxels,IntDen,Mean,StdDev,Median,Min,Max,X,Y,Z,Mean dist. to surf. ( ),SD dist. to surf. ( ),Median dist. to surf. ( ),XM,YM,ZM,BX,BY,BZ,B-width,B-height,B-depth
298,418,298,196,75990,255,0,255,255,255,430.708,461.500,6.523,4.467,1.542,4.356,430.709,461.500,6.523,426,454,4,10,15,7
71,136,71,56,18105,255,0,255,255,255,413.056,364.634,9.915,2.239,0.567,2.297,413.056,364.634,9.915,410,362,8,7,6,4
90,156,90,74,22950,255,0,255,255,255,464.589,218.400,11.033,2.537,0.766,2.639,464.589,218.400,11.033,461,216,10,8,6,4
64,134,64,56,16320,255,0,255,255,255,440.953,301.266,11.625,2.291,0.750,2.307,440.953,301.266,11.625,438,299,10,7,5,4
122,202,122,88,31110,255,0,255,255,255,426.533,319.197,12.246,2.713,0.668,2.682,426.533,319.197,12.246,423,316,10,8,8,5
261,426,261,184,66555,255,0,255,255,255,408.268,323.054,13.939,3.856,1.172,3.897,408.269,323.054,13.939,403,319,10,11,10,8
124,194,124,87,31620,255,0,255,255,255,426.669,333.306,12.508,2.750,0.567,2.767,426.669,333.306,12.508,423,330,10,8,7,5
141,234,141,102,35955,255,0,255,255,255,416.596,349.837,11.936,3.003,0.828,3.026,416.596,349.837,11.936,413,346,10,9,8,5
15,48,15,15,3825,255,0,255,255,255,410.867,402.133,11.200,1.206,0.383,1.187,410.867,402.133,11.200,409,401,10,4,3,3
63,122,63,62,16065,255,0,255,255,255,413.667,425.032,11.508,2.201,0.712,2.196,413.667,425.032,11.508,411,422,10,6,7,3
108,220,108,101,27540,255,0,255,255,255,411.176,520.157,12.009,3.033,1.159,3.019,411.176,520.157,12.009,407,516,10,10,9,5
101,178,101,76,25755,255,0,255,255,255,458.644,230.723,12.396,2.652,0.725,2.569,458.644,230.723,12.396,456,227,11,8,8,4
160,264,160,130,40800,255,0,255,255,255,459.494,247.475,11.975,3.327,1.170,3.103,459.494,247.475,11.975,456,242,11,8,11,4
211,274,211,126,53805,255,0,255,255,255,429.379,303.607,13.408,3.394,0.668,3.364,429.379,303.607,13.408,426,299,11,7,10,6
