Volume ( ^3),Surface ( ^2),Nb of obj. voxels,Nb of surf. voxels,IntDen,Mean,StdDev,Median,Min,Max,X,Y,Z,Mean dist. to surf. ( ),SD dist. to surf. ( ),Median dist. to surf. ( ),XM,YM,ZM,BX,BY,BZ,B-width,B-height,B-depth
398,750,398,336,101490,255,0,255,255,255,389.108,356.379,8.465,6.900,3.319,6.621,389.109,356.379,8.465,379,351,2,24,11,13
78,178,78,74,19890,255,0,255,255,255,370.436,363.833,6.128,2.735,1.069,2.668,370.436,363.833,6.128,366,360,5,9,8,4
99,188,99,70,25245,255,0,255,255,255,395.313,306.455,11.253,2.654,0.701,2.637,395.313,306.455,11.253,393,303,9,7,7,6
61,116,61,49,15555,255,0,255,255,255,397.197,332.230,10.393,2.109,0.469,2.173,397.197,332.230,10.393,395,330,9,6,5,4
64,120,64,56,16320,255,0,255,255,255,488.219,207.438,10.672,2.161,0.576,2.299,488.219,207.438,10.672,486,205,10,6,6,3
104,202,104,88,26520,255,0,255,255,255,480.067,242.769,11.038,2.747,0.871,2.702,480.067,242.769,11.038,477,238,10,7,10,3
166,242,166,112,42330,255,0,255,255,255,424.994,311.970,13.325,3.176,0.818,3.148,424.994,311.970,13.325,421,309,10,9,7,7
169,242,169,118,43095,255,0,255,255,255,431.065,290.278,13.722,3.131,0.743,3.035,431.065,290.278,13.722,427,287,11,10,7,6
38,94,38,34,9690,255,0,255,255,255,452.395,289.158,11.868,1.819,0.553,1.810,452.395,289.158,11.868,450,287,11,6,5,3
63,122,63,53,16065,255,0,255,255,255,417.349,295.889,12.857,2.122,0.501,2.145,417.349,295.889,12.857,415,294,11,6,5,5
239,360,239,162,60945,255,0,255,255,255,424.849,322.322,14.766,3.868,1.134,3.742,424.850,322.322,14.766,420,317,11,10,12,8
90,190,90,77,22950,255,0,255,255,255,337.100,356.189,12.622,2.778,1.092,2.639,337.100,356.189,12.622,333,354,11,10,6,5
43,102,43,38,10965,255,0,255,255,255,360.070,361.465,12.093,1.931,0.657,1.851,360.070,361.465,12.093,358,359,11,6,6,3
110,224,110,94,28050,255,0,255,255,255,380.364,370.009,13.055,3.077,1.118,3.060,380.364,370.009,13.055,376,366,11,10,8,5
666,1392,666,608,169830,255,0,255,255,255,306.809,393.848,18.344,10.836,5.914,10.321,306.810,393.848,18.344,291,382,11,38,27,14
112,172,112,77,28560,255,0,255,255,255,425.688,212.446,14.054,2.608,0.416,2.665,425.688,212.446,14.054,423,210,12,7,6,5
96,156,96,70,24480,255,0,255,255,255,473.948,264.125,14.073,2.489,0.521,2.396,473.948,264.125,14.073,472,261,12,5,7,5
67,122,67,56,17085,255,0,255,255,255,428.806,281.806,13.478,2.171,0.497,2.096,428.806,281.806,13.478,427,279,12,5,6,4
232,290,232,137,59160,255,0,255,255,255,441.642,285.983,14.957,3.456,0.630,3.491,441.643,285.983,14.957,438,282,12,8,9,7
21,56,21,20,5355,255,0,255,255,255,420.810,284.286,13.714,1.366,0.346,1.374,420.810,284.286,13.714,419,283,12,4,3,4
98,174,98,77,24990,255,0,255,255,255,432.173,298.653,13.245,2.606,0.755,2.577,432.173,298.653,13.245,429,296,12,8,7,4
194,262,194,122,49470,255,0,255,255,255,406.835,300.526,13.835,3.258,0.664,3.305,406.835,300.526,13.835,403,297,12,10,8,5
47,114,47,39,11985,255,0,255,255,255,400.532,312.702,13.681,2.008,0.548,1.909,400.532,312.702,13.681,398,310,12,6,6,4
62,124,62,49,15810,255,0,255,255,255,394.645,319.419,14.048,2.147,0.535,2.121,394.645,319.419,14.048,392,317,12,6,6,5
53,118,53,48,13515,255,0,255,255,255,364.604,345.830,13.075,2.181,0.756,2.094,364.604,345.830,13.075,361,343,12,7,7,4
76,184,76,69,19380,255,0,255,255,255,352.158,352.553,13.237,2.676,1.103,2.355,352.158,352.553,13.237,348,349,12,10,7,4
36,86,36,36,9180,255,0,255,255,255,347.694,362.028,12.611,1.751,0.605,1.755,347.694,362.028,12.611,345,360,12,6,5,3
23,64,23,23,5865,255,0,255,255,255,307.522,407.174,12.478,1.704,0.738,1.605,307.522,407.174,12.478,305,406,12,6,4,2
394,442,394,220,100470,255,0,255,255,255,398.155,285.868,15.660,4.390,1.108,4.366,398.156,285.868,15.660,393,280,13,12,12,7
65,118,65,51,16575,255,0,255,255,255,384.523,301.169,14.615,2.140,0.393,2.050,384.523,301.169,14.615,383,299,13,4,6,5
75,134,75,57,19125,255,0,255,255,255,459.187,307.533,15.027,2.276,0.511,2.233,459.187,307.533,15.027,457,305,13,5,6,5
86,152,86,66,21930,255,0,255,255,255,444.279,315.523,15.500,2.456,0.589,2.517,444.279,315.523,15.500,442,313,13,6,6,6
100,164,100,75,25500,255,0,255,255,255,415.580,320.060,14.500,2.567,0.591,2.583,415.580,320.060,14.500,413,317,13,7,7,4
21,58,21,18,5355,255,0,255,255,255,404.095,271.619,15.524,1.431,0.314,1.413,404.095,271.619,15.524,403,270,14,3,4,4
46,92,46,41,11730,255,0,255,255,255,459.500,276.109,14.804,1.862,0.488,1.921,459.500,276.109,14.804,458,274,14,4,5,3
80,142,80,56,20400,255,0,255,255,255,481.438,280.138,16.050,2.341,0.391,2.324,481.438,280.138,16.050,479,277,14,6,7,5
173,266,173,127,44115,255,0,255,255,255,453.231,285.370,16.451,3.148,0.821,3.286,453.231,285.370,16.451,449,282,14,9,8,5
51,120,51,44,13005,255,0,255,255,255,447.569,296.098,16.020,2.011,0.575,1.963,447.569,296.098,16.020,445,294,14,7,5,5
89,152,89,66,22695,255,0,255,255,255,469.517,297.528,15.730,2.398,0.498,2.363,469.517,297.528,15.730,467,295,14,7,6,5
88,160,88,69,22440,255,0,255,255,255,436.125,304.807,16.273,2.454,0.602,2.405,436.125,304.807,16.273,433,303,14,7,5,5
50,120,50,47,12750,255,0,255,255,255,409.280,353.220,16.380,2.081,0.616,2.037,409.280,353.220,16.380,408,351,14,4,5,5
102,200,102,82,26010,255,0,255,255,255,425.118,239.353,17.706,2.787,0.934,2.682,425.118,239.353,17.706,422,236,15,7,7,7
23,60,23,22,5865,255,0,255,255,255,472.826,288.565,16.391,1.427,0.394,1.453,472.826,288.565,16.391,471,287,15,4,4,3
