Volume ( ^3),Surface ( ^2),Nb of obj. voxels,Nb of surf. voxels,IntDen,Mean,StdDev,Median,Min,Max,X,Y,Z,Mean dist. to surf. ( ),SD dist. to surf. ( ),Median dist. to surf. ( ),XM,YM,ZM,BX,BY,BZ,B-width,B-height,B-depth
322,552,322,244,82110,255,0,255,255,255,399.121,419.003,8.429,5.211,2.201,5.140,399.122,419.003,8.429,390,414,4,18,10,11
143,330,143,131,36465,255,0,255,255,255,399.867,342.580,9.993,4.149,1.361,4.353,399.867,342.580,9.993,394,339,5,12,8,11
347,530,347,244,88485,255,0,255,255,255,420.793,349.444,9.037,4.632,1.646,4.447,420.793,349.444,9.037,415,344,5,15,10,11
128,268,128,111,32640,255,0,255,255,255,410.594,382.383,8.891,3.752,1.522,3.618,410.594,382.383,8.891,405,380,5,12,6,9
118,218,118,91,30090,255,0,255,255,255,419.593,402.127,6.585,2.928,0.931,2.768,419.593,402.127,6.585,415,398,5,9,9,5
173,286,173,126,44115,255,0,255,255,255,397.549,407.965,6.642,3.336,1.035,3.287,397.549,407.965,6.642,393,404,5,10,9,6
168,338,168,145,42840,255,0,255,255,255,406.060,407.970,9.048,4.657,1.806,4.883,406.060,407.970,9.048,399,405,5,15,7,9
303,522,303,235,77265,255,0,255,255,255,447.175,318.607,8.719,4.193,1.371,3.957,447.175,318.607,8.719,441,313,6,13,12,8
60,118,60,50,15300,255,0,255,255,255,411.683,366.367,10.600,2.100,0.557,2.193,411.683,366.367,10.600,409,364,9,6,6,4
71,160,71,64,18105,255,0,255,255,255,400.803,399.338,10.620,2.407,0.794,2.402,400.803,399.338,10.620,397,397,9,8,6,4
81,144,81,72,20655,255,0,255,255,255,466.420,213.383,10.691,2.435,0.725,2.517,466.420,213.383,10.691,464,210,10,6,7,3
62,116,62,51,15810,255,0,255,255,255,467.484,225.452,10.839,2.105,0.521,2.105,467.484,225.452,10.839,465,223,10,6,6,3
120,212,120,106,30600,255,0,255,255,255,464.350,259.708,11.525,2.902,0.901,2.990,464.350,259.708,11.525,461,256,10,8,9,4
65,124,65,59,16575,255,0,255,255,255,465.338,238.431,11.631,2.185,0.609,2.282,465.338,238.431,11.631,463,236,11,6,6,3
60,120,60,52,15300,255,0,255,255,255,428.067,298.950,12.183,2.111,0.585,2.215,428.067,298.950,12.183,425,297,11,7,5,4
39,90,39,39,9945,255,0,255,255,255,448.282,307.128,11.487,1.837,0.657,1.797,448.282,307.128,11.487,446,305,11,6,5,2
148,250,148,108,37740,255,0,255,255,255,434.912,341.797,14.628,3.285,1.097,3.108,434.912,341.797,14.628,432,338,11,7,10,8
66,126,66,60,16830,255,0,255,255,255,409.985,391.667,11.606,2.234,0.664,2.173,409.985,391.667,11.606,408,389,11,6,7,3
87,168,87,73,22185,255,0,255,255,255,421.908,442.770,12.402,2.526,0.795,2.554,421.908,442.770,12.402,419,440,11,7,8,4
